date,news_sentiment_1d_raw,news_sentiment_chg_1d_raw,news_topic_intensity_MacroRF_raw,news_topic_intensity_MonetaryPolicyRF_raw,news_topic_intensity_GeopoliticsSanctions_raw,news_topic_intensity_OilGasEnergy_raw,news_topic_intensity_FiscalPolicyCorp_raw,news_topic_focus_shift_1d_raw,news_topic_entropy_1d_raw,_topic_vector_internal
2020-04-18,-0.10000,,0.20000,0.00000,0.20000,0.00000,0.40000,,1.50000,"[np.float64(0.2), np.float64(0.0), np.float64(0.2), np.float64(0.0), np.float64(0.4)]"
2020-04-19,-0.20000,-0.10000,0.40000,0.00000,0.20000,0.00000,0.20000,0.16667,1.50000,"[np.float64(0.4), np.float64(0.0), np.float64(0.2), np.float64(0.0), np.float64(0.2)]"
2020-04-20,-0.22000,-0.02000,0.09000,0.02000,0.06000,0.47000,0.22000,0.64599,1.71449,"[np.float64(0.09), np.float64(0.02), np.float64(0.06), np.float64(0.47), np.float64(0.22)]"
2020-04-21,-0.48000,-0.26000,0.35000,0.12000,0.25000,0.65000,0.38000,0.05678,2.13969,"[np.float64(0.35), np.float64(0.12), np.float64(0.25), np.float64(0.65), np.float64(0.38)]"
2020-04-22,-0.31000,0.17000,0.10000,0.07000,0.17000,0.45000,0.17000,0.03533,2.01228,"[np.float64(0.1), np.float64(0.07), np.float64(0.17), np.float64(0.45), np.float64(0.17)]"
2020-04-23,-0.03000,0.28000,0.35000,0.21000,0.16000,0.21000,0.29000,0.25676,2.26776,"[np.float64(0.35), np.float64(0.21), np.float64(0.16), np.float64(0.21), np.float64(0.29)]"
2020-04-24,-0.18000,-0.15000,0.42000,0.14000,0.31000,0.33000,0.25000,0.04558,2.24252,"[np.float64(0.42), np.float64(0.14), np.float64(0.31), np.float64(0.33), np.float64(0.25)]"
2020-04-25,-0.20000,-0.02000,0.33000,0.00000,0.00000,0.17000,0.17000,0.14666,1.50730,"[np.float64(0.33), np.float64(0.0), np.float64(0.0), np.float64(0.17), np.float64(0.17)]"
2020-04-26,-0.49000,-0.29000,0.63000,0.01000,0.13000,0.21000,0.13000,0.05567,1.70416,"[np.float64(0.63), np.float64(0.01), np.float64(0.13), np.float64(0.21), np.float64(0.13)]"
2020-04-27,-0.34000,0.15000,0.40000,0.04000,0.20000,0.40000,0.20000,0.11063,2.06201,"[np.float64(0.4), np.float64(0.04), np.float64(0.2), np.float64(0.4), np.float64(0.2)]"
2020-04-28,-0.21000,0.13000,0.35000,0.00000,0.10000,0.25000,0.10000,0.02415,1.79618,"[np.float64(0.35), np.float64(0.0), np.float64(0.1), np.float64(0.25), np.float64(0.1)]"
2020-04-29,-0.13000,0.08000,0.22000,0.02000,0.13000,0.24000,0.30000,0.13920,2.05220,"[np.float64(0.22), np.float64(0.02), np.float64(0.13), np.float64(0.24), np.float64(0.3)]"
2020-04-30,-0.18000,-0.05000,0.35000,0.08000,0.25000,0.32000,0.28000,0.03500,2.20135,"[np.float64(0.35), np.float64(0.08), np.float64(0.25), np.float64(0.32), np.float64(0.28)]"
2020-05-01,-0.15000,0.03000,0.30000,0.05000,0.10000,0.35000,0.20000,0.03840,2.06387,"[np.float64(0.3), np.float64(0.05), np.float64(0.1), np.float64(0.35), np.float64(0.2)]"
2020-05-02,-0.13000,0.02000,0.18000,0.00000,0.20000,0.50000,0.33000,0.06825,1.87626,"[np.float64(0.18), np.float64(0.0), np.float64(0.2), np.float64(0.5), np.float64(0.33)]"
2020-05-03,-0.05000,0.08000,0.10000,0.00000,0.30000,0.30000,0.10000,0.11134,1.81128,"[np.float64(0.1), np.float64(0.0), np.float64(0.3), np.float64(0.3), np.float64(0.1)]"
2020-05-04,0.20000,0.25000,0.00000,0.00000,0.50000,0.50000,0.00000,0.05132,1.00000,"[np.float64(0.0), np.float64(0.0), np.float64(0.5), np.float64(0.5), np.float64(0.0)]"
2020-05-05,0.07000,-0.13000,0.30000,0.00000,0.07000,0.25000,0.20000,0.49071,1.85276,"[np.float64(0.3), np.float64(0.0), np.float64(0.07), np.float64(0.25), np.float64(0.2)]"
2020-05-06,-0.08000,-0.15000,0.40000,0.10000,0.25000,0.30000,0.35000,0.04684,2.20839,"[np.float64(0.4), np.float64(0.1), np.float64(0.25), np.float64(0.3), np.float64(0.35)]"
2020-05-07,-0.05000,0.03000,0.20000,0.05000,0.10000,0.20000,0.10000,0.04013,2.16198,"[np.float64(0.2), np.float64(0.05), np.float64(0.1), np.float64(0.2), np.float64(0.1)]"
2020-05-08,-0.28000,-0.23000,0.35000,0.06000,0.24000,0.23000,0.22000,0.03462,2.17024,"[np.float64(0.35), np.float64(0.06), np.float64(0.24), np.float64(0.23), np.float64(0.22)]"
2020-05-09,0.03000,0.31000,0.33000,0.05000,0.25000,0.17000,0.10000,0.02708,2.08211,"[np.float64(0.33), np.float64(0.05), np.float64(0.25), np.float64(0.17), np.float64(0.1)]"
2020-05-10,-0.10000,-0.13000,0.20000,0.10000,0.20000,0.00000,0.10000,0.10198,1.91830,"[np.float64(0.2), np.float64(0.1), np.float64(0.2), np.float64(0.0), np.float64(0.1)]"
2020-05-11,0.07500,0.17500,0.27500,0.07500,0.20000,0.32500,0.32500,0.25965,2.18871,"[np.float64(0.275), np.float64(0.075), np.float64(0.2), np.float64(0.325), np.float64(0.325)]"
2020-05-12,-0.07400,-0.14900,0.25900,0.07400,0.33300,0.22200,0.29600,0.04486,2.19717,"[np.float64(0.259), np.float64(0.074), np.float64(0.333), np.float64(0.222), np.float64(0.296)]"
2020-05-13,-0.04200,0.03200,0.25900,0.03700,0.18500,0.18500,0.33300,0.03790,2.11044,"[np.float64(0.259), np.float64(0.037), np.float64(0.185), np.float64(0.185), np.float64(0.333)]"
2020-05-14,-0.13000,-0.08800,0.33000,0.09000,0.20000,0.23000,0.17000,0.07520,2.21202,"[np.float64(0.33), np.float64(0.09), np.float64(0.2), np.float64(0.23), np.float64(0.17)]"
2020-05-15,-0.15500,-0.02500,0.25000,0.05900,0.23500,0.16200,0.29400,0.06042,2.17652,"[np.float64(0.25), np.float64(0.059), np.float64(0.235), np.float64(0.162), np.float64(0.294)]"
2020-05-16,-0.20000,-0.04500,0.33000,0.00000,0.33000,0.00000,0.33000,0.07002,1.58496,"[np.float64(0.33), np.float64(0.0), np.float64(0.33), np.float64(0.0), np.float64(0.33)]"
2020-05-17,0.03300,0.23300,0.25000,0.05600,0.22200,0.08300,0.38900,0.04883,2.04283,"[np.float64(0.25), np.float64(0.056), np.float64(0.222), np.float64(0.083), np.float64(0.389)]"
2020-05-18,0.02500,-0.00800,0.35000,0.05000,0.25000,0.20000,0.15000,0.15522,2.12113,"[np.float64(0.35), np.float64(0.05), np.float64(0.25), np.float64(0.2), np.float64(0.15)]"
2020-05-19,-0.02500,-0.05000,0.27600,0.03400,0.20700,0.13800,0.34500,0.09718,2.07282,"[np.float64(0.276), np.float64(0.034), np.float64(0.207), np.float64(0.138), np.float64(0.345)]"
2020-05-20,-0.38000,-0.35500,0.43100,0.06600,0.26600,0.24300,0.20300,0.08369,2.13758,"[np.float64(0.431), np.float64(0.066), np.float64(0.266), np.float64(0.243), np.float64(0.203)]"
2020-05-21,-0.09200,0.28800,0.32400,0.06200,0.15300,0.12500,0.33600,0.07771,2.09359,"[np.float64(0.324), np.float64(0.062), np.float64(0.153), np.float64(0.125), np.float64(0.336)]"
2020-05-22,-0.18000,-0.08800,0.25000,0.10000,0.15000,0.20000,0.30000,0.02587,2.22821,"[np.float64(0.25), np.float64(0.1), np.float64(0.15), np.float64(0.2), np.float64(0.3)]"
2020-05-23,-0.06700,0.11300,0.46700,0.06700,0.20000,0.01700,0.46700,0.09731,1.80471,"[np.float64(0.467), np.float64(0.067), np.float64(0.2), np.float64(0.017), np.float64(0.467)]"
2020-05-24,0.05000,0.11700,0.25000,0.00000,0.00000,0.00000,0.75000,0.14823,0.81128,"[np.float64(0.25), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.75)]"
2020-05-25,-0.11700,-0.16700,0.33300,0.04200,0.08300,0.20800,0.33300,0.19486,2.01843,"[np.float64(0.333), np.float64(0.042), np.float64(0.083), np.float64(0.208), np.float64(0.333)]"
2020-05-26,-0.07400,0.04300,0.48100,0.05100,0.18100,0.21600,0.44400,0.00985,2.03841,"[np.float64(0.481), np.float64(0.051), np.float64(0.181), np.float64(0.216), np.float64(0.444)]"
2020-05-27,-0.09700,-0.02300,0.42600,0.05900,0.20600,0.20600,0.41200,0.00231,2.09318,"[np.float64(0.426), np.float64(0.059), np.float64(0.206), np.float64(0.206), np.float64(0.412)]"
2020-05-28,-0.08000,0.01700,0.23000,0.04000,0.19000,0.26000,0.31000,0.04062,2.13753,"[np.float64(0.23), np.float64(0.04), np.float64(0.19), np.float64(0.26), np.float64(0.31)]"
2020-05-29,0.08700,0.16700,0.35800,0.01300,0.17900,0.10300,0.34700,0.07713,1.92390,"[np.float64(0.358), np.float64(0.013), np.float64(0.179), np.float64(0.103), np.float64(0.347)]"
2020-05-30,0.08800,0.00100,0.22200,0.00000,0.33300,0.11100,0.33300,0.07410,1.89106,"[np.float64(0.222), np.float64(0.0), np.float64(0.333), np.float64(0.111), np.float64(0.333)]"
2020-05-31,-0.16700,-0.25500,0.16700,0.00000,0.16700,0.33300,0.00000,0.40344,1.50075,"[np.float64(0.167), np.float64(0.0), np.float64(0.167), np.float64(0.333), np.float64(0.0)]"
2020-06-01,-0.07300,0.09400,0.30300,0.09100,0.18200,0.21200,0.36400,0.33379,2.19122,"[np.float64(0.303), np.float64(0.091), np.float64(0.182), np.float64(0.212), np.float64(0.364)]"
2020-06-02,-0.06400,0.00900,0.35300,0.06100,0.24200,0.15200,0.33300,0.01818,2.12998,"[np.float64(0.353), np.float64(0.061), np.float64(0.242), np.float64(0.152), np.float64(0.333)]"
2020-06-03,-0.08700,-0.02300,0.24300,0.02700,0.21600,0.18900,0.32400,0.01877,2.09593,"[np.float64(0.243), np.float64(0.027), np.float64(0.216), np.float64(0.189), np.float64(0.324)]"
2020-06-04,-0.29200,-0.20500,0.36900,0.01900,0.09200,0.15300,0.19700,0.10381,1.93860,"[np.float64(0.369), np.float64(0.019), np.float64(0.092), np.float64(0.153), np.float64(0.197)]"
2020-06-05,-0.09200,0.20000,0.23100,0.05100,0.24600,0.20500,0.16400,0.11982,2.18596,"[np.float64(0.231), np.float64(0.051), np.float64(0.246), np.float64(0.205), np.float64(0.164)]"
2020-06-06,-0.15000,-0.05800,0.10000,0.00000,0.20000,0.40000,0.10000,0.15478,1.75000,"[np.float64(0.1), np.float64(0.0), np.float64(0.2), np.float64(0.4), np.float64(0.1)]"
2020-06-07,0.05000,0.20000,0.25000,0.00000,0.00000,0.60000,0.15000,0.10512,1.35272,"[np.float64(0.25), np.float64(0.0), np.float64(0.0), np.float64(0.6), np.float64(0.15)]"
2020-06-08,0.03000,-0.02000,0.30000,0.05000,0.25000,0.50000,0.30000,0.10512,2.09848,"[np.float64(0.3), np.float64(0.05), np.float64(0.25), np.float64(0.5), np.float64(0.3)]"
2020-06-09,-0.05000,-0.08000,0.25000,0.05000,0.15000,0.35000,0.20000,0.00506,2.12113,"[np.float64(0.25), np.float64(0.05), np.float64(0.15), np.float64(0.35), np.float64(0.2)]"
2020-06-10,-0.20000,-0.15000,0.28000,0.00000,0.10000,0.24000,0.36000,0.08186,1.88020,"[np.float64(0.28), np.float64(0.0), np.float64(0.1), np.float64(0.24), np.float64(0.36)]"
2020-06-11,-0.15000,0.05000,0.35000,0.15000,0.25000,0.15000,0.30000,0.10092,2.23993,"[np.float64(0.35), np.float64(0.15), np.float64(0.25), np.float64(0.15), np.float64(0.3)]"
2020-06-12,-0.10000,0.05000,0.00000,0.00000,0.00000,0.00000,0.40000,0.46967,0.00000,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.4)]"
2020-06-13,0.12000,0.22000,0.29000,0.02000,0.16000,0.16000,0.55000,0.16914,1.89234,"[np.float64(0.29), np.float64(0.02), np.float64(0.16), np.float64(0.16), np.float64(0.55)]"
2020-06-14,-0.08000,-0.20000,0.17000,0.17000,0.17000,0.17000,0.33000,0.07986,2.25809,"[np.float64(0.17), np.float64(0.17), np.float64(0.17), np.float64(0.17), np.float64(0.33)]"
2020-06-15,-0.02000,0.06000,0.21000,0.12000,0.12000,0.25000,0.31000,0.02927,2.22302,"[np.float64(0.21), np.float64(0.12), np.float64(0.12), np.float64(0.25), np.float64(0.31)]"
2020-06-16,-0.22000,-0.20000,0.12000,0.01000,0.32000,0.46000,0.30000,0.12356,1.92456,"[np.float64(0.12), np.float64(0.01), np.float64(0.32), np.float64(0.46), np.float64(0.3)]"
2020-06-17,-0.15000,0.07000,0.25000,0.05000,0.45000,0.48000,0.35000,0.01815,2.09845,"[np.float64(0.25), np.float64(0.05), np.float64(0.45), np.float64(0.48), np.float64(0.35)]"
2020-06-18,-0.20000,-0.05000,0.15000,0.05000,0.25000,0.35000,0.20000,0.00845,2.12113,"[np.float64(0.15), np.float64(0.05), np.float64(0.25), np.float64(0.35), np.float64(0.2)]"
2020-06-19,-0.16000,0.04000,0.37000,0.10000,0.13000,0.08000,0.38000,0.29755,2.03456,"[np.float64(0.37), np.float64(0.1), np.float64(0.13), np.float64(0.08), np.float64(0.38)]"
2020-06-20,0.05000,0.21000,0.05000,0.00000,0.25000,0.50000,0.20000,0.50028,1.68048,"[np.float64(0.05), np.float64(0.0), np.float64(0.25), np.float64(0.5), np.float64(0.2)]"
2020-06-21,-0.10000,-0.15000,0.25000,0.00000,0.00000,0.25000,0.50000,0.34907,1.50000,"[np.float64(0.25), np.float64(0.0), np.float64(0.0), np.float64(0.25), np.float64(0.5)]"
2020-06-22,-0.10400,-0.00400,0.30400,0.01700,0.13900,0.30400,0.23500,0.13636,2.03167,"[np.float64(0.304), np.float64(0.017), np.float64(0.139), np.float64(0.304), np.float64(0.235)]"
2020-06-23,-0.07900,0.02500,0.45600,0.00000,0.22100,0.11200,0.51500,0.12923,1.79759,"[np.float64(0.456), np.float64(0.0), np.float64(0.221), np.float64(0.112), np.float64(0.515)]"
2020-06-24,-0.15000,-0.07100,0.12000,0.00000,0.22000,0.33000,0.11000,0.37167,1.85405,"[np.float64(0.12), np.float64(0.0), np.float64(0.22), np.float64(0.33), np.float64(0.11)]"
2020-06-25,-0.35200,-0.20200,0.23700,0.00000,0.08900,0.27000,0.42200,0.23730,1.83139,"[np.float64(0.237), np.float64(0.0), np.float64(0.089), np.float64(0.27), np.float64(0.422)]"
2020-06-26,-0.25700,0.09500,0.25000,0.00000,0.22200,0.33300,0.33300,0.04547,1.97788,"[np.float64(0.25), np.float64(0.0), np.float64(0.222), np.float64(0.333), np.float64(0.333)]"
2020-06-27,-0.08300,0.17400,0.25000,0.00000,0.08300,0.08300,0.58300,0.18755,1.55000,"[np.float64(0.25), np.float64(0.0), np.float64(0.083), np.float64(0.083), np.float64(0.583)]"
2020-06-28,-0.06700,0.01600,0.00000,0.00000,0.33300,0.66700,0.33300,0.47385,1.49962,"[np.float64(0.0), np.float64(0.0), np.float64(0.333), np.float64(0.667), np.float64(0.333)]"
2020-06-29,-0.12000,-0.05300,0.32000,0.08000,0.16000,0.20000,0.40000,0.32252,2.13974,"[np.float64(0.32), np.float64(0.08), np.float64(0.16), np.float64(0.2), np.float64(0.4)]"
2020-06-30,-0.11000,0.01000,0.24000,0.03000,0.21000,0.18000,0.18000,0.06677,2.14053,"[np.float64(0.24), np.float64(0.03), np.float64(0.21), np.float64(0.18), np.float64(0.18)]"
2020-07-01,-0.26000,-0.15000,0.34000,0.17000,0.42000,0.32000,0.44000,0.03004,2.25796,"[np.float64(0.34), np.float64(0.17), np.float64(0.42), np.float64(0.32), np.float64(0.44)]"
2020-07-02,-0.05000,0.21000,0.35000,0.15000,0.25000,0.30000,0.28000,0.02669,2.27305,"[np.float64(0.35), np.float64(0.15), np.float64(0.25), np.float64(0.3), np.float64(0.28)]"
2020-07-03,-0.21000,-0.16000,0.35000,0.12000,0.08000,0.12000,0.29000,0.07889,2.10116,"[np.float64(0.35), np.float64(0.12), np.float64(0.08), np.float64(0.12), np.float64(0.29)]"
2020-07-05,0.70000,0.91000,0.05000,0.00000,0.00000,0.00000,0.40000,0.32652,0.50326,"[np.float64(0.05), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.4)]"
2020-07-06,-0.15000,-0.85000,0.45000,0.15000,0.35000,0.45000,0.30000,0.55813,2.23526,"[np.float64(0.45), np.float64(0.15), np.float64(0.35), np.float64(0.45), np.float64(0.3)]"
2020-07-07,-0.20000,-0.05000,0.35000,0.00000,0.15000,0.25000,0.25000,0.04376,1.94065,"[np.float64(0.35), np.float64(0.0), np.float64(0.15), np.float64(0.25), np.float64(0.25)]"
2020-07-08,-0.17000,0.03000,0.31000,0.00000,0.16000,0.12000,0.15000,0.03351,1.89590,"[np.float64(0.31), np.float64(0.0), np.float64(0.16), np.float64(0.12), np.float64(0.15)]"
2020-07-09,-0.08000,0.09000,0.45000,0.03000,0.15000,0.13000,0.32000,0.02942,1.95306,"[np.float64(0.45), np.float64(0.03), np.float64(0.15), np.float64(0.13), np.float64(0.32)]"
2020-07-10,-0.09000,-0.01000,0.30000,0.04000,0.03000,0.19000,0.15000,0.06561,1.93460,"[np.float64(0.3), np.float64(0.04), np.float64(0.03), np.float64(0.19), np.float64(0.15)]"
2020-07-11,-0.24000,-0.15000,0.52000,0.00000,0.17000,0.08000,0.23000,0.09441,1.70434,"[np.float64(0.52), np.float64(0.0), np.float64(0.17), np.float64(0.08), np.float64(0.23)]"
2020-07-12,0.07000,0.31000,0.00000,0.00000,0.00000,0.50000,0.50000,0.63395,1.00000,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.5), np.float64(0.5)]"
2020-07-13,-0.08000,-0.15000,0.25000,0.10000,0.05000,0.10000,0.20000,0.40000,2.12095,"[np.float64(0.25), np.float64(0.1), np.float64(0.05), np.float64(0.1), np.float64(0.2)]"
2020-07-14,-0.14000,-0.06000,0.22000,0.04000,0.14000,0.25000,0.28000,0.09377,2.12934,"[np.float64(0.22), np.float64(0.04), np.float64(0.14), np.float64(0.25), np.float64(0.28)]"
2020-07-15,-0.05000,0.09000,0.35000,0.03000,0.21000,0.15000,0.26000,0.06425,2.07052,"[np.float64(0.35), np.float64(0.03), np.float64(0.21), np.float64(0.15), np.float64(0.26)]"
2020-07-16,-0.11000,-0.06000,0.21000,0.00000,0.25000,0.14000,0.14000,0.05366,1.95349,"[np.float64(0.21), np.float64(0.0), np.float64(0.25), np.float64(0.14), np.float64(0.14)]"
2020-07-17,-0.23000,-0.12000,0.27000,0.12000,0.08000,0.08000,0.15000,0.18548,2.15778,"[np.float64(0.27), np.float64(0.12), np.float64(0.08), np.float64(0.08), np.float64(0.15)]"
2020-07-18,-0.05000,0.18000,0.35000,0.00000,0.25000,0.00000,0.25000,0.12741,1.56565,"[np.float64(0.35), np.float64(0.0), np.float64(0.25), np.float64(0.0), np.float64(0.25)]"
2020-07-19,-0.40000,-0.35000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
2020-07-20,-0.20000,0.20000,0.25000,0.08000,0.30000,0.16000,0.22000,0.00000,2.20860,"[np.float64(0.25), np.float64(0.08), np.float64(0.3), np.float64(0.16), np.float64(0.22)]"
2020-07-21,-0.03000,0.17000,0.25000,0.05000,0.15000,0.13000,0.20000,0.03864,2.17189,"[np.float64(0.25), np.float64(0.05), np.float64(0.15), np.float64(0.13), np.float64(0.2)]"
2020-07-22,-0.08000,-0.05000,0.15000,0.08000,0.19000,0.19000,0.27000,0.06189,2.22754,"[np.float64(0.15), np.float64(0.08), np.float64(0.19), np.float64(0.19), np.float64(0.27)]"
2020-07-23,0.05000,0.13000,0.20000,0.01000,0.10000,0.13000,0.23000,0.05427,2.00929,"[np.float64(0.2), np.float64(0.01), np.float64(0.1), np.float64(0.13), np.float64(0.23)]"
2020-07-24,-0.07000,-0.12000,0.25000,0.23000,0.21000,0.14000,0.26000,0.12028,2.29212,"[np.float64(0.25), np.float64(0.23), np.float64(0.21), np.float64(0.14), np.float64(0.26)]"
2020-07-25,0.05000,0.12000,0.10000,0.00000,0.00000,0.00000,0.25000,0.32704,0.86312,"[np.float64(0.1), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.25)]"
2020-07-26,0.12000,0.07000,0.14000,0.00000,0.26000,0.22000,0.38000,0.23497,1.91342,"[np.float64(0.14), np.float64(0.0), np.float64(0.26), np.float64(0.22), np.float64(0.38)]"
2020-07-27,-0.23000,-0.35000,0.54000,0.06000,0.12000,0.14000,0.40000,0.21751,1.93384,"[np.float64(0.54), np.float64(0.06), np.float64(0.12), np.float64(0.14), np.float64(0.4)]"
2020-07-28,-0.11000,0.12000,0.17000,0.07000,0.17000,0.10000,0.38000,0.13345,2.07949,"[np.float64(0.17), np.float64(0.07), np.float64(0.17), np.float64(0.1), np.float64(0.38)]"
2020-07-29,-0.18000,-0.07000,0.26000,0.14000,0.15000,0.29000,0.19000,0.19117,2.26213,"[np.float64(0.26), np.float64(0.14), np.float64(0.15), np.float64(0.29), np.float64(0.19)]"
2020-07-30,-0.31000,-0.13000,0.31000,0.10000,0.35000,0.24000,0.26000,0.06697,2.22669,"[np.float64(0.31), np.float64(0.1), np.float64(0.35), np.float64(0.24), np.float64(0.26)]"
2020-07-31,-0.15000,0.16000,0.15000,0.06000,0.19000,0.16000,0.19000,0.01228,2.23503,"[np.float64(0.15), np.float64(0.06), np.float64(0.19), np.float64(0.16), np.float64(0.19)]"
2020-08-01,-0.15000,0.00000,0.39000,0.00000,0.06000,0.22000,0.33000,0.14791,1.78173,"[np.float64(0.39), np.float64(0.0), np.float64(0.06), np.float64(0.22), np.float64(0.33)]"
2020-08-02,0.01000,0.16000,0.29000,0.00000,0.14000,0.29000,0.29000,0.03677,1.94586,"[np.float64(0.29), np.float64(0.0), np.float64(0.14), np.float64(0.29), np.float64(0.29)]"
2020-08-03,-0.11000,-0.12000,0.21000,0.04000,0.14000,0.18000,0.29000,0.02488,2.12997,"[np.float64(0.21), np.float64(0.04), np.float64(0.14), np.float64(0.18), np.float64(0.29)]"
2020-08-04,-0.11000,0.00000,0.25000,0.00000,0.25000,0.25000,0.28000,0.02804,1.99820,"[np.float64(0.25), np.float64(0.0), np.float64(0.25), np.float64(0.25), np.float64(0.28)]"
2020-08-05,-0.23000,-0.12000,0.32000,0.11000,0.23000,0.29000,0.35000,0.02331,2.23389,"[np.float64(0.32), np.float64(0.11), np.float64(0.23), np.float64(0.29), np.float64(0.35)]"
2020-08-06,-0.15000,0.08000,0.20000,0.10000,0.35000,0.00000,0.25000,0.18033,1.87764,"[np.float64(0.2), np.float64(0.1), np.float64(0.35), np.float64(0.0), np.float64(0.25)]"
